,Modulbezeichnung: ,engl. Modulbezeichnung: ,ggf. Modulniveau: ,Kürzel: ,ggf. Untertitel: ,ggf. Lehrveranstaltungen: ,Studiensemester: ,Semesterlage: ,Modulverantwortliche(r):  ,Dozent(in): ,Sprache: ,Zuordnung zum Curriculum:  ,Lehrform / SWS:  ,Arbeitsaufwand:  ,Kreditpunkte: ,Empfohlene Voraussetzungen: ,Angestrebte Lernergebnisse:  ,Inhalt:  ,Studien-/ Prüfungsleistungen: ,Medienformen: ,Literatur: 
2578,,,,,,,,,,,, ,,,,,Energieversorgung , ,,, 
2579,,,,,,,,,,,,FIN: B.Sc. CV - Allgemeine Visualistik - Design ,,,,,Lernziele & erworbene Kompetenzen: ,Analysis and Design Process ,,, 
2580,,,,,,,,,,,, ,,,,, ,Design Principles ,,,Seite 423   Inhaltsverzeichnis 
2581,,,,,,,,,,,, ,,,,, ,Testing ,,,     
2582,,,,,,,,,,,,FIN: M.Sc. CV - Bereich Informatik ,,,,,Seite 489   Inhaltsverzeichnis ,Investitionsbewertung (bei flacher Zinsstruktur) ,,, 
2583,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Informatikgrundlagen für Ingenieure ,,,,,     ,1. Fisher-Separation ,,,"J. Barwise, J. Etchemendy: Sprache, Beweis und Logik. "
2584,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Methoden der Informatik ,,,,, ,2. Kapitalwert- und Annuitäten-Methode ,,,Dassow : Logik für Informatiker 
2585,,,,,,,,,,,,FIN: M.Sc. DKE - Data Processing for Data Science ,,,,,Grundlegendes Verständnis der Modellierung von ,3. Interne Zinsfuß-Methode Kapitalwertmethode (bei nicht-,,,Schöning : Logik für Informatiker 
2586,,,,,,,,,,,,FIN: M.Sc. DKE - Applied Data Science ,,,,,Computersystemen und Computernetzen ,flacher Zinsstruktur) ,,,J. Kelly: Logik (im Klartext) 
2587,,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,,,,"Verständnis für den Entwurf, Aufbau und die Erstellung von ",4. Rendite- und Zinsstruktur ,,, 
2588,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,,,,Simulationssystemen ,5. Spot- und Forward-Rates Finanzierung ,,, 
2589,,,,,,,,,,,,FIN: M.Sc. VC - Computer Science ,,,,,Kompetenz Simulationen wissenschaftlich durchzuführen und zu ,6. Eigenkapitalfinanzierung ,,, 
2590,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,,,,evaluieren ,7. Fremdkapitalfinanzierung und Finanzierungssubstitute ,,, 
2591,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Wirtschaftsinformatik ,,,,,Kompetenz im Entwerfen von großen Experimentserien ,8. Mezzanine-Finanzierung ,,, 
2592,,,,,,,,,,,, ,,,,,Kompetenz im Nutzung eines ereignisorientierten ,9. Kapitalstruktur Zinssicherungsinstrumente ,,,Seite 425   Inhaltsverzeichnis 
2593,,,,,,,,,,,, ,,,,,Netzwerksimulators ,FRAs und Swaps ,,,     
2594,,,,,,,,,,,,FIN: M.Sc. CV - Bereich Informatik ,,,,, ,IT System LandscapeIT System Landscape EngineeringStrategic ,,, 
2595,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,,,,,Aufbauend auf der Beherrschung der Grundprinzipien der ,IS Management and Corporate StrategyFrom Strategic Planning ,,,"J. Barwise, J. Etchemendy: Sprache, Beweis und Logik. "
2596,,,,,,,,,,,,FIN: M.Sc. DKE - Applied Data Science ,,,,,Zellbiologie und Immunologie aus dem zweiten bzw. vierten ,to the Operation of the System LandscapeFrom Operation ,,,Dassow : Logik für Informatiker 
2597,,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Applications ,,,,,Semester Erwerb von Spezialkenntnissen auf diesem Gebiet. ,"Management ot IT Operation Management (Plan, Design, ",,,Schöning : Logik für Informatiker 
2598,,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,,,,Verstärkung der Motivation zur wissenschaftlichen Arbeitsweise ,Control)Information Technology Infrastructure Library (ITIL) ,,,J. Kelly: Logik (im Klartext). 
2599,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,,,,Aufbauend auf das Wissen aus dem Modul „Zellbiologie“ ,phases and processesOperationalization of Quality Management ,,, 
2600,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Wirtschaftsinformatik ,,,,,erwerben die Studierenden die , ,,, 
2601,,,,,,,,,,,, ,,,,,"Fähigkeit, die wichtigsten Vorgänge und Prinzipien auf die ",    • Grundlagen IT-forensischer Untersuchungen: ,,, 
2602,,,,,,,,,,,, ,,,,,molekulare Ebene zu übertragen. ,"datenzentrisches Vorgehensmodell mit Informationen, Daten ",,, 
2603,,,,,,,,,,,,FIN: M.Sc. CV - Bereich Computervisualistik ,,,,,Lernziele & erworbene Kompetenzen: ,"und Phasen für IT-forensischen Untersuchungen, Anwendung an ",,, 
2604,,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,,,,Der/die Studierende soll Sicherheitsprobleme in ,ausgewählten Beispielen ,,,Seite 427   Inhaltsverzeichnis 
2605,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,,,,Multimediaanwendungen erkennen und lösen können. Dafür ,"    • Sicherheitsziele, Designanforderungen und ausgewählte ",,,     
2606,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,,,,soll er/sie Fähigkei-ten erlernen Multimedia spezifische ,rechtliche Aspekte in der IT-Forensik ,,, 
2607,,,,,,,,,,,, ,,,,,"Umsetzungen von Sicherheitsprotokollen für Bild, Video und ",    • Ausgewählte Beispiele zur Beweismittelsuche und Erhebung ,,,"M. Kreuzer, S. Kühling: Logik für Informatiker, Pearson Studium, "
2608,,,,,,,,,,,, ,,,,,Audio sowie Komplexe anwenden können. ,sowie Auswertung gemäß Best Practices ,,,"München, 2006, u.a. "
2609,,,,,,,,,,,,FIN: M.Sc. CV - Bereich Anwendungen / ,,,,, ,"    • Grundlagen zur Aufbereitung, Dokumentation und ",,, 
2610,,,,,,,,,,,,Geisteswissenschaftliche Grundlagen ,,,,,Lernziele & erworbene Kompetenzen: ,Präsentation von Untersuchungsergebnissen ,,, 
2611,,,,,,,,,,,, ,,,,,Grundverständnis der Suche in Sammlungen von Multimedia , ,,, 
2612,,,,,,,,,,,, ,,,,,Daten ,"Projektvorbereitung: Projektbeschreibung, Zieldefinition, ",,, 
2613,,,,,,,,,,,,FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - FIN SMK ,,,,,Kenntnisse von Konzepten des Information Retrievals ,"Aufbau- u. Ablauforganisation, Wirtschaftlichkeitsprognose ",,, 
2614,,,,,,,,,,,,FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - FIN SMK ,,,,,Kenntnisse zur Ähnlichkeitsberechnung zwischen ,"Projektplanung: Budgetierung, Ablaufplanung, ",,,Seite 428   Inhaltsverzeichnis 
2615,,,,,,,,,,,,FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - FIN ,,,,,Medienobjekten ,"Terminmanagement, Kapazitätsplanung, Analyse kritischer ",,,     
2616,,,,,,,,,,,,SMK ,,,,,Kenntnisse über Algorithmen und Datenstrukturen zur ,Pfade ,,, 
2617,,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden - FIN SMK ,,,,,effizienten Ähnlichkeitsberechnung ,"Projektsteuerung: Fortschrittskontrolle, Budgetüberwachung, ",,,"Dörner, D.: Die Logik des Misslingens; "
2618,,,,,,,,,,,, ,,,,,Kenntnisse der Erzeugung und Verwendung deskriptiver ,Dokumentation und Berichtswesen ,,,"Vester, F.: Die Kunst vernetzt zu denken. Deutsche Verlags-"
2619,,,,,,,,,,,, ,,,,,"Merkmale (features) aus Multimediaobjekten (Text, Bild, Ton, ","Projektabschluss: Projektabnahme, Erkenntnissicherung, ",,,Anstalt Stuttgart. 7. durchgesehen und überarbeitete Auflage. 
2620,,,,,,,,,,,,FIN: B.Sc. INGINF - Ingenieurbereich Vertiefungen - ,,,,,Video) ,Projektliquidation ,,,2001 
2621,,,,,,,,,,,,Maschinenbau Spezialisierung Konstruktion ,,,,, ,Projektunterstützende Maßnahmen: ,,, 
2622,,,,,,,,,,,,FIN: B.Sc. INGINF - Ingenieurbereich Vertiefungen - ,,,,, ,"Projektmanagementwerkzeuge, Kreativitäts- und ",,, 
2623,,,,,,,,,,,,Maschinenbau Spezialisierung Produktion ,,,,,Seite 495   Inhaltsverzeichnis ,"Arbeitstechniken, Konfigurationsmanagement ",,, 
2624,,,,,,,,,,,, ,,,,,     ,"Agiles Projektmanagment, SCRUM ",,, 
2625,,,,,,,,,,,, ,,,,, , ,,, 
2626,,,,,,,,,,,,FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - ,,,,,Befähigung zur Auswahl und Einschätzung von alternativen , ,,,Seite 430   Inhaltsverzeichnis 
2627,,,,,,,,,,,,Trainingsmodul ,,,,,Konzepten zur Ähnlichkeitssuche für konkrete Szenarien der ,Seite 398   Inhaltsverzeichnis ,,,     
2628,,,,,,,,,,,,FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - ,,,,,(interaktiven) Suche ,     ,,, 
2629,,,,,,,,,,,,Trainingsmodul ,,,,,- , ,,,Vorlesungsskripte im passwortgeschützten Downloadbereich 
2630,,,,,,,,,,,,FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - ,,,,,Die Studenten erwerben einen breiten Einblick in die , ,,, 
2631,,,,,,,,,,,,Trainingsmodul ,,,,,Bedeutungder Nachhaltigkeit von Energiesystemen und die ,"Projektvorbereitung: Projektbeschreibung, Zieldefinition, ",,, 
2632,,,,,,,,,,,,FIN: B.Sc. WIF - Schlüssel- und Methodenkompetenzen - ,,,,,verschiedenenFacetten von Nachhaltigkeit. Sie erkennen ferner ,"Aufbau- u. Ablauforganisation, ",,, 
2633,,,,,,,,,,,,Trainingsmodul ,,,,,dieZusammenhänge zwischen technischen Energiesystemen ,"WirtschaftlichkeitsprognoseProjektplanung: Budgetierung, ",,, 
2634,,,,,,,,,,,, ,,,,,undderen Effekte auf die Ökologieund das soziale Umfeld sowie ,"Ablaufplanung, Terminmanagement, Kapazitätsplanung, Analyse ",,, 
2635,,,,,,,,,,,, ,,,,,die ökonomischen undgenehmigungstechnischen  ,kritischer Pfade ,,,Seite 432   Inhaltsverzeichnis 
2636,,,,,,,,,,,,FIN: M.Sc. CV - Bereich Anwendungen / ,,,,,Randbedingungen.Durch die in der Vorlesung erworbenen ,"Projektsteuerung: Fortschrittskontrolle, Budgetüberwachung, ",,,     
2637,,,,,,,,,,,,Geisteswissenschaftliche Grundlagen ,,,,,Kenntnisse können dieStudenten Technologie nachhaltiger ,Dokumentation und Berichtswesen ,,, 
2638,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Ingenieurwissenschaften ,,,,,entwickelnund gezieltkommunizieren.Zusätzlich wird in einer ,"Projektabschluss: Projektabnahme, Erkenntnissicherung, ",,,"Arnold, D. et al.: Handbuch Logistik. Berlin u.a.: Springer 2002. "
2639,,,,,,,,,,,, ,,,,,Team-Projektarbeit eineEnergietechnologie detailliert erforscht; ,Projektliquidation ,,,"Gudehus, T.: Logistik. Grundlagen, Strategien, Anwendungen. "
2640,,,,,,,,,,,, ,,,,,"die Studenten erlernenhierbei, sich selbständig in ein Gebiet ", ,,,Berlin u.a.: Springer 2004. 
2641,,,,,,,,,,,,??? ,,,,,"einzuarbeiten, eineaktuelle Themenstellung im Team zu ", ,,,"Krämer, K.: Automatisierung in Materialfluss und Logistik. "
2642,,,,,,,,,,,, ,,,,,bearbeiten und dieErkenntnisse zu präsentieren.Zusätzlich ,Seite 400   Inhaltsverzeichnis ,,,Wiesbaden: Deutscher Universitätsverlag 2002. 
2643,,,,,,,,,,,, ,,,,,erhalten Sie Einblick in Forschung und Entwicklung ,     ,,, 
2644,,,,,,,,,,,,FIN: B.Sc. CV - WPF Computervisualistik ,,,,,anEnergiesystemen. , ,,, 
2645,,,,,,,,,,,,FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - FIN SMK ,,,,, ,Projektunterstützende Maßnahmen: Projektmanage-ment-,,, 
2646,,,,,,,,,,,,FIN: B.Sc. INF - WPF Informatik ,,,,,Lernziele & erworbene Kompetenzen: ,"werkzeuge, Kreativitäts- und Arbeitstechniken, ",,, 
2647,,,,,,,,,,,,FIN: B.Sc. INF - Studienprofil - Computer Games ,,,,,Fähigkeit den prinzipiellen Komponenten der ,Konfigurationsmanagement ,,, 
2648,,,,,,,,,,,,FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - FIN SMK ,,,,,Nachrichtensystemen zu verstehen und zu beschreiben ,"Agiles Projektmanagment, SCRUM ",,,Seite 434   Inhaltsverzeichnis 
2649,,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Informatik ,,,,,Kompetenz die analytische Beschreibungsmethoden der lineare , ,,,     
2650,,,,,,,,,,,,FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - FIN ,,,,,Systemen zu benutzen. , ,,, 
2651,,,,,,,,,,,,SMK ,,,,,Kenntnis über die theoretische Beschränkungen und ,Aktuelle Herausforderungen und Lösungen der IT Sicherheit zu ,,,Vorlesungsskripte im passwortgeschützten Downloadbereich 
2652,,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,,,,,Eigenschaften der Nachrichtensystemen. ,ausgewählten technischen Themen wie zum Beispiel aus: ,,, 
2653,,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden - FIN SMK ,,,,,Kompetenz in mathematische und numerische Modellierung der ,"System-, Netzwerk- und Anwendungssicherheit ",,, 
2654,,,,,,,,,,,,FIN: M.Sc. CV - Bereich Computervisualistik ,,,,,Nachrichtensysteme. , ,,, 
2655,,,,,,,,,,,,FIN: M.Sc. CV - Schlüssel- und Methodenkompetenzen ,,,,,Bei Belegung im Masterstudium gilt zusätzlich: Studierende , ,,, 
2656,,,,,,,,,,,,FIN: M.Sc. DKE - Fundamentals of Data Science ,,,,,erwerben vertiefte Kompetenzen in der selbstständigen ,Seite 402   Inhaltsverzeichnis ,,, 
2657,,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,,,,Erarbeitung von wissenschaftlichen Themen auf dem Gebiet des ,     ,,,Seite 436   Inhaltsverzeichnis 
2658,,,,,,,,,,,,FIN: M.Sc. INF - Schlüssel- und Methodenkompetenzen ,,,,,Modules , ,,,     
2659,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,,,, ,Sicherheit von Bussystemen ,,, 
2660,,,,,,,,,,,,FIN: M.Sc. INGINF - Schlüssel- und Methodenkompetenzen ,,,,, ,Spezifikation und formale Verifikation sicherer Systeme ,,,http://lehramt.cs.uni-magdeburg.de/Skripte/Pra/indexibm 
2661,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,,,,Seite 501   Inhaltsverzeichnis ,Design und Realisierung hardwarenaher Sicherheitslösungen ,,, 
2662,,,,,,,,,,,,FIN: M.Sc. WIF - Schlüssel- und Methodenkompetenzen ,,,,,     , ,,, 
2663,,,,,,,,,,,, ,,,,, , ,,,Seite 437   Inhaltsverzeichnis 
2664,,,,,,,,,,,, ,,,,, ,"At the beginning, only a few people could access information in ",,,     
2665,,,,,,,,,,,,FIN: M.Sc. CV - Bereich Computervisualistik ,,,,,Lernziele und zu erwerbende Kompetenzen: ,a digital way. Nowadays hundreds of millions of people use ,,, 
2666,,,,,,,,,,,,FIN: M.Sc. DKE - Fundamentals of Data Science ,,,,,Vermittlung der für das Verständnis der Strukturen moderner ,"information systems every day when they use a web shop, a ",,,"Udo Kebschull, Paul Herrmann, Wilhelm G: Spruth: Einführung in "
2667,,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,,,,Nachrichtennetze notwendigen Grundlagen ,search engine or manage their e-mails. ,,,z/OS und OS/390. ISBN 3-486-27214-4. 
2668,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,,,,"Beschreibung, Behandlung und quantitative Bewertung von ",At the moment information discovery plays an important role ,,, 
2669,,,,,,,,,,,,FIN: M.Sc. VC - Visual Computing - Wahlpflichtfächer ,,,,,Informationsübertragungssystemen mittels der ,"for managing data collections, processing and identifying ",,, 
2670,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,,,,Nachrichtenverkehrstheorie ,"relevant data, and supporting users analysing their personal ",,, 
2671,,,,,,,,,,,, ,,,,,Vermittlung ingenieurwissenschaftlicher Grundlagen für digitale ,"interests (e.g. context, language, semantics, etc.). ",,, 
2672,,,,,,,,,,,, ,,,,,Informationsübertragungssysteme am Beispiel des ISDN- ,"Data Engineering principles are important for representing, ",,, 
2673,,,,,,,,,,,,FIN: M.Sc. CV - Bereich Informatik ,,,,,Basisanschlusses ,presenting and understanding data that is generated by ,,,Seite 438   Inhaltsverzeichnis 
2674,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Methoden des Digital Engineering ,,,,,Learning objectives and competences to be acquired: ,different systems. Knowledge Engineering refers to all aspects ,,,     
2675,,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,,,,This seminar teaches how visualizations of various types of data ,"involved in building, maintaining and using knowledge-based ",,, 
2676,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,,,,"can be designed such that they are appropriate for non-experts, ",systems to turn passive data into exploitable knowledge. ,,,Listings 
2677,,,,,,,,,,,,FIN: M.Sc. VC - Visual Computing - Wahlpflichtfächer ,,,,,"e.g., for broad audiences. It is inspired by recent developments ",In this course the fundamentals of Data and Knowledge ,,, 
2678,,,,,,,,,,,, ,,,,,in data journalism where online media are employed to create ,Engineering will be presented. The information system ,,, 
2679,,,,,,,,,,,, ,,,,,an interactive experience. The core idea is to employ principles ,architecture will be explained within all its components and ,,, 
2680,,,,,,,,,,,,FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - ,,,,, ,related application areas will be discussed. The basic concepts ,,, 
2681,,,,,,,,,,,,Wissenschaftliches Seminar ,,,,, ,"and more advanced techniques for natural language processing, ",,, 
2682,,,,,,,,,,,,FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - ,,,,,Seite 505   Inhaltsverzeichnis ,information filtering and decision support will be shown. ,,,Seite 440   Inhaltsverzeichnis 
2683,,,,,,,,,,,,Wissenschaftliches Seminar ,,,,,     ,"Furthermore, in-depth knowledge and competences in Data ",,,     
2684,,,,,,,,,,,,FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - ,,,,, ,Science / Data Mining will be given. ,,, 
2685,,,,,,,,,,,,Wissenschaftliches Seminar ,,,,,from storytelling and narration to the explanation of data. The ,All the methods and techniques can be applied in Digital ,,,"Homburg, Ch./Krohmer, H.: Marketingmanagement, 2. Aufl., "
2686,,,,,,,,,,,,FIN: B.Sc. WIF - Schlüssel- und Methodenkompetenzen - ,,,,,"seminar topics, cover narrative genres, such as animation, slide ","Humanities. This is an interdisciplinary environment, where ",,,"Wies-baden, Gabler-Verlag, 2006. "
2687,,,,,,,,,,,,Wissenschaftliches Seminar ,,,,,"sets and data comics, narrative structures derived from ",researchers can work together. It is based on different research ,,, 
2688,,,,,,,,,,,, ,,,,,"storytelling, such as the Martini Glass structure and the ","fields, e.g. quantitative text analysis, information retrieval, text ",,, 
2689,,,,,,,,,,,, ,,,,,Freytag's pyramid. The topics also cover a wide range of ,"mining, subject-specific databases, corpus linguistics, ",,, 
2690,,,,,,,,,,,,FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - ,,,,,"applications, including molecular visualization, visualization of ",visualization of complex data structures and provides user-,,, 
2691,,,,,,,,,,,,Wissenschaftliches Seminar ,,,,,astronomy and climate data as well as visualizations related to ,oriented / user-centred representations of the data that can ,,, 
2692,,,,,,,,,,,,FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - ,,,,,"business and finance data. Accordingly, different visualization ",then be further analysed hermeneutically in the humanities. ,,,Seite 441   Inhaltsverzeichnis 
2693,,,,,,,,,,,,Wissenschaftliches Seminar ,,,,,"techniques are provided, e.g., time-line based visualization, ","At the end of the course, the students are provided within a rich ",,,     
2694,,,,,,,,,,,,FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - ,,,,,various diagram types but also multi-scale 3D visualizations. ,and comprehensive catalogue of tools and techniques and can ,,, 
2695,,,,,,,,,,,,Wissenschaftliches Seminar ,,,,, ,develop and understand information systems applying their ,,,"Tom Mitchell. Machine Learning. McGraw-Hill, 1997. "
2696,,,,,,,,,,,,FIN: B.Sc. WIF - Schlüssel- und Methodenkompetenzen - ,,,,,Knowledge of the limitations of neural and of symbolic ,knowledge for Data and Knowledge Engineering. They can also ,,,S. Russel und P. Norvig. Artificial Intelligence: A Modern 
2697,,,,,,,,,,,,Wissenschaftliches Seminar ,,,,,approachesKnowledge of different neural-symbolic ,use machine learning techniques that can be applied for ,,,"Approach. Prentice Hall, Englewood Cliffs, 2003 "
2698,,,,,,,,,,,, ,,,,,architecturesAbility to choose and document an architecture for ,"different purposes, especially for digital humanities. ",,, 
2699,,,,,,,,,,,, ,,,,,a given problemAbility to follow the recent literature on neural-, ,,, 
2700,,,,,,,,,,,,FIN: M.Sc. CV - Schlüssel- und Methodenkompetenzen ,,,,,symbolic integration ,praktische Anwendung kognitiver intelligenter Systeme und ,,, 
2701,,,,,,,,,,,,FIN: M.Sc. DIGIENG ,,,,, ,deren Konzeption und Organisationsform ,,, 
2702,,,,,,,,,,,,FIN: M.Sc. DKE - Applied Data Science ,,,,,Anwendung von Methoden der Datenanalyse mit Neuronalen ,praktisch getestete Theorien und künstliche Repräsentanten ,,, 
2703,,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Models ,,,,,"Netzen zur Lösung von Klassifikations-, Regressions- und ",menschlicher Kognition ,,,Seite 443   Inhaltsverzeichnis 
2704,,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Methods I ,,,,,weiteren statistischen Problemen ,Modellbildung in akustischer und verschrifteter Sprache als ,,,     
2705,,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Methods II ,,,,, ,höchstes Repräsentationsmodell ,,, 
2706,,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Applications ,,,,, ,Umsetzung in ingenieurtechnischen Systemen ,,, 
2707,,,,,,,,,,,,FIN: M.Sc. INF - Schlüssel- und Methodenkompetenzen ,,,,,Seite 509   Inhaltsverzeichnis ,Aspekte der Bedeutungszuweisung und der Datenhandhabung ,,, 
2708,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,,,,     ,in kognitiven Systemen ,,, 
2709,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Ingenieurinformatik ,,,,, ,Definition ,,, 
2710,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Ingenieurwissenschaften ,,,,,Bewertung und Anwendung neuronaler Lernverfahren zur ,"Aufbau, Funktion der Verdrängerarbeitsmaschinen ",,, 
2711,,,,,,,,,,,,FIN: M.Sc. INGINF - Schlüssel- und Methodenkompetenzen ,,,,,Analyse komplexer Systeme ,Thermodynamischer Prozess in Kolbenarbeitsmaschinen ,,, 
2712,,,,,,,,,,,,FIN: M.Sc. VC - Schlüssel- und Methodenkompetenzen ,,,,,Befähigung zur Entwicklung von Neuronalen Netzen ,Saugverhalten der Pumpen ,,,Seite 445   Inhaltsverzeichnis 
2713,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,,,, ,Mehrstufige Kompression ,,,     
2714,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Wirtschaftsinformatik ,,,,,Vorlesungsschwerpunkte: ,Betriebsverhalten der Verdrängerarbeitsmaschinen ,,, 
2715,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Wirtschaftswissenschaften ,,,,,Übersicht über geometrisch und physikalisch nichtlineare ,"Kennwerte, Kennfelder ",,,"Arnold, D.; Furmanns, K.: Materialfluss in Logistiksystemen. "
2716,,,,,,,,,,,,FIN: M.Sc. WIF - Schlüssel- und Methodenkompetenzen ,,,,,Probleme (ein Einführungsbeispiel) ,Einführung in die Kommunikationstechnik ,,,"Springer, Berlin 2005. "
2717,,,,,,,,,,,, ,,,,,Kontinuumsmechanische Grundlagen (Verzerrungs- und ,Mathematische Darstellung der Signale als Informationsträger ,,, 
2718,,,,,,,,,,,, ,,,,,"Spannungsmaße, schwache Form des Gleichgewichts, ",im Zeit- und Frequenzbereich (Fourier-Reihe und Fourier-,,, 
2719,,,,,,,,,,,,FIN: M.Sc. CV - Bereich Informatik ,,,,,"Linearisierungen, TL und UL Formulierungen) ",Transformation) ,,, 
2720,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Methoden der Informatik ,,,,,Geometrische nichtlineare finite Elemente ,Die Abtasttheorie und die Digitalisierung der Signale ,,, 
2721,,,,,,,,,,,,FIN: M.Sc. DKE - Applied Data Science ,,,,,Lösungsverfahren für nichtlineare Gleichungssysteme ,Quellencodierung und Datenkompression ,,, 
2722,,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Methods I ,,,,,Übersicht über Matrialgesetze und ihre Nutzung in der FEM , ,,,Seite 447   Inhaltsverzeichnis 
2723,,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Methods II ,,,,,Kontaktprobleme , ,,,     
2724,,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Applications ,,,,,Transiente Berechnungen ,Seite 408   Inhaltsverzeichnis ,,, 
2725,,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,,,,Vertiefung des Stoffes anhand von Beispielen und ,     ,,,Fördertechnik – Elemente und Triebwerke; Fördermaschinen 
2726,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,,,,Berechnungen von Aufgaben mit Hilfe kommerzieller FEM-, ,,,(Hrsg.: Scheffler) 
2727,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,,,,Software ,Mathematische Beschreibung des Rauschens ,,, 
2728,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Wirtschaftsinformatik ,,,,,The course provides an introduction to common numerical ,Rauschverhalten der Übertragungskanäle; Berechnung der ,,, 
2729,,,,,,,,,,,,Als Implementierung des generischen Moduls ,,,,,"methods for visual computing, such as numerical linear algebra, ",Bitfehlerrate ,,, 
2730,,,,,,,,,,,,"""Wissenschaftliches Teamprojekt"" entsprechend anrechenbar. ",,,,,"time integration schemes for ordinary differential equations, ",Behandlung ausgewählter digitaler Übertragungssysteme im ,,,Seite 448   Inhaltsverzeichnis 
2731,,,,,,,,,,,, ,,,,,"numerical solution of partial differential equations, basis ","Basisband (PCM, DPCM, ....) ",,,     
2732,,,,,,,,,,,, ,,,,,"representations for functions, and tensor analysis. It also covers ",Behandlung ausgewählter digitaler Übertragungssysteme im ,,, 
2733,,,,,,,,,,,,FIN: M.Sc. CV - Bereich Informatik ,,,,,the requisite mathematics. ,"Passband (ASK, PSK, FSK, QAM, ....) ",,,Fördertechnik – Elemente und Triebwerke; Fördermaschinen 
2734,,,,,,,,,,,,FIN: M.Sc. CV - Bereich Computervisualistik ,,,,, ,Informations- und Codierungstheorie ,,,(Hrsg.: Scheffler) 
2735,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Human Factors ,,,,,In der Lehrveranstaltung erwerben die Studenten Kenntnisse in ,Informationsgehalt und Entropie diskreter Informationsquellen. ,,, 
